"emoji=阿森松岛,",阿森松岛
"emoji=安道尔,",安道尔
"emoji=阿拉伯,",阿拉伯
"emoji=阿联酋,",阿联酋
"emoji=阿富汗,",阿富汗
"emoji=安提瓜和巴布达,",安提瓜和巴布达
"emoji=安圭拉,",安圭拉
"emoji=阿尔巴尼亚,",阿尔巴尼亚
"emoji=亚美尼亚,",亚美尼亚
"emoji=安哥拉,",安哥拉
"emoji=南极洲,",南极洲
"emoji=阿根廷,",阿根廷
"emoji=美属萨摩亚,",美属萨摩亚
"emoji=奥地利,",奥地利
"emoji=澳大利亚,",澳大利亚
"emoji=澳州,",澳州
"emoji=澳洲,",澳洲
"emoji=阿鲁巴,",阿鲁巴
"emoji=奥兰,",奥兰
"emoji=阿塞拜疆,",阿塞拜疆
"emoji=波斯尼亚和黑塞哥维那,",波斯尼亚和黑塞哥维那
"emoji=巴巴多斯,",巴巴多斯
"emoji=孟加拉,",孟加拉
"emoji=比利时,",比利时
"emoji=布基纳法索,",布基纳法索
"emoji=保加利亚,",保加利亚
"emoji=巴林,",巴林
"emoji=布隆迪,",布隆迪
"emoji=贝宁,",贝宁
"emoji=圣巴泰勒米,",圣巴泰勒米
"emoji=百慕大,",百慕大
"emoji=文莱,",文莱
"emoji=玻利维亚,",玻利维亚
"emoji=荷属加勒比区,",荷属加勒比区
"emoji=巴西,",巴西
"emoji=巴哈马,",巴哈马
"emoji=不丹,",不丹
"emoji=布韦岛,",布韦岛
"emoji=博茨瓦纳,",博茨瓦纳
"emoji=白俄罗斯,",白俄罗斯
"emoji=伯利兹,",伯利兹
"emoji=加拿大,",加拿大
"emoji=科科斯,",科科斯
"emoji=刚果,",刚果
"emoji=中非,",中非
"emoji=刚果,",刚果
"emoji=瑞士,",瑞士
"emoji=科特迪瓦,",科特迪瓦
"emoji=库克,",库克
"emoji=智利,",智利
"emoji=喀麦隆,",喀麦隆
"emoji=中国,",中国
"emoji=哥伦比亚,",哥伦比亚
"emoji=克利珀顿岛,",克利珀顿岛
